PERIOD,DATE,SITE,NDVI
49,2/7/2018,PM2,4413
49,2/7/2018,PM7,4185
49,2/7/2018,PM18,4394
49,2/7/2018,PM9,5293
49,2/7/2018,PM17,4454
49,2/7/2018,PM14,4334
49,2/7/2018,PM3,5285
49,2/7/2018,PM13,4608
49,2/7/2018,PM12,4158
49,2/7/2018,PM1,5626
49,2/7/2018,PM16,4164
49,2/7/2018,PM8,5397
49,2/7/2018,PM15,4540
49,2/7/2018,PM5,5360
49,2/7/2018,PM6,5291
49,2/7/2018,PM19,4230
49,2/7/2018,PM10,4710
49,2/7/2018,PM22,4826
49,2/7/2018,PM11,4396
49,2/7/2018,PM20,4376
49,2/7/2018,PM4,5394
49,2/7/2018,PM21,4328
50,2/23/2018,PM3,5509
50,2/23/2018,PM1,5638
50,2/23/2018,PM8,5343
50,2/23/2018,PM17,4376
50,2/23/2018,PM18,4423
50,2/23/2018,PM16,4253
50,2/23/2018,PM7,4456
50,2/23/2018,PM13,4548
50,2/23/2018,PM15,4402
50,2/23/2018,PM22,4882
50,2/23/2018,PM9,5413
50,2/23/2018,PM2,5302
50,2/23/2018,PM14,4697
50,2/23/2018,PM12,3903
50,2/23/2018,PM5,5074
50,2/23/2018,PM21,4297
50,2/23/2018,PM20,4422
50,2/23/2018,PM4,5592
50,2/23/2018,PM6,4608
50,2/23/2018,PM10,4675
50,2/23/2018,PM11,4185
50,2/23/2018,PM19,4197
51,3/11/2018,PM2,5247
51,3/11/2018,PM13,4362
51,3/11/2018,PM7,4598
51,3/11/2018,PM22,4503
51,3/11/2018,PM8,4828
51,3/11/2018,PM3,5510
51,3/11/2018,PM1,5231
51,3/11/2018,PM11,4263
51,3/11/2018,PM18,4262
51,3/11/2018,PM12,3781
51,3/11/2018,PM19,4024
51,3/11/2018,PM6,4344
51,3/11/2018,PM5,4964
51,3/11/2018,PM17,4302
51,3/11/2018,PM16,4230
51,3/11/2018,PM14,4397
51,3/11/2018,PM21,4017
51,3/11/2018,PM20,4296
51,3/11/2018,PM4,5096
51,3/11/2018,PM9,4613
51,3/11/2018,PM15,4479
51,3/11/2018,PM10,3827
52,3/27/2018,PM19,4169
52,3/27/2018,PM6,4575
52,3/27/2018,PM12,4181
52,3/27/2018,PM7,4708
52,3/27/2018,PM17,4529
52,3/27/2018,PM10,4315
52,3/27/2018,PM14,4490
52,3/27/2018,PM13,4569
52,3/27/2018,PM2,4969
52,3/27/2018,PM22,4782
52,3/27/2018,PM16,4167
52,3/27/2018,PM1,5274
52,3/27/2018,PM21,4208
52,3/27/2018,PM3,5591
52,3/27/2018,PM11,4181
52,3/27/2018,PM5,4982
52,3/27/2018,PM8,5430
52,3/27/2018,PM15,4597
52,3/27/2018,PM4,4808
52,3/27/2018,PM9,5249
52,3/27/2018,PM20,4484
52,3/27/2018,PM18,4326
53,4/12/2018,PM7,4973
