GROUP,SITE,DATE,TIME,SPECIES,COUNT,ANTLERED,YOUNG,DATE.TIME
1,PM4,1/17/2018,4:39:30,deer,1,1,0,1/17/2018 4:39
1,PM4,1/17/2018,4:41:38,deer,1,1,0,1/17/2018 4:41
1,PM4,1/17/2018,21:41:36,deer,1,0,1,1/17/2018 21:41
1,PM4,1/24/2018,18:24:43,deer,1,0,0,1/24/2018 18:24
1,PM4,1/24/2018,19:06:26,deer,1,0,0,1/24/2018 19:06
1,PM4,1/25/2018,23:02:40,deer,1,1,0,1/25/2018 23:02
1,PM4,1/26/2018,18:57:10,deer,1,0,0,1/26/2018 18:57
1,PM4,1/26/2018,18:59:42,deer,1,0,0,1/26/2018 18:59
1,PM4,1/26/2018,19:02:13,deer,1,0,0,1/26/2018 19:02
1,PM4,1/26/2018,19:04:14,deer,1,0,0,1/26/2018 19:04
1,PM4,1/26/2018,19:09:41,deer,1,0,0,1/26/2018 19:09
1,PM4,1/29/2018,19:15:43,deer,1,0,0,1/29/2018 19:15
1,PM4,1/30/2018,6:04:56,deer,1,0,0,1/30/2018 6:04
1,PM4,1/30/2018,6:07:01,deer,1,0,0,1/30/2018 6:07
1,PM4,1/31/2018,1:18:27,deer,1,0,0,1/31/2018 1:18
1,PM4,1/31/2018,5:06:23,deer,1,0,1,1/31/2018 5:06
1,PM4,1/31/2018,5:50:44,deer,1,0,1,1/31/2018 5:50
1,PM4,1/31/2018,7:05:35,deer,1,0,0,1/31/2018 7:05
1,PM4,2/2/2018,2:35:44,deer,1,0,0,2/2/2018 2:35
1,PM4,2/2/2018,5:34:14,deer,1,0,0,2/2/2018 5:34
1,PM4,2/3/2018,6:54:51,deer,1,0,0,2/3/2018 6:54
1,PM4,2/7/2018,6:48:37,deer,1,0,0,2/7/2018 6:48
1,PM4,2/12/2018,18:39:44,deer,1,0,0,2/12/2018 18:39
1,PM4,2/13/2018,19:38:05,deer,1,0,0,2/13/2018 19:38
1,PM4,2/14/2018,17:52:57,deer,1,1,0,2/14/2018 17:52
1,PM4,2/14/2018,17:56:52,deer,1,0,1,2/14/2018 17:56
1,PM4,2/26/2018,18:49:31,deer,1,0,1,2/26/2018 18:49
1,PM4,2/26/2018,18:58:27,deer,1,0,1,2/26/2018 18:58
1,PM4,2/26/2018,22:43:38,deer,1,0,1,2/26/2018 22:43
1,PM4,2/26/2018,22:46:44,deer,1,0,0,2/26/2018 22:46
1,PM4,2/26/2018,23:23:42,deer,2,0,0,2/26/2018 23:23
1,PM4,2/27/2018,0:58:34,deer,2,0,0,2/27/2018 0:58
1,PM4,2/27/2018,1:01:06,deer,3,0,0,2/27/2018 1:01
1,PM4,2/27/2018,1:03:40,deer,1,0,0,2/27/2018 1:03
1,PM4,2/27/2018,6:10:12,deer,2,0,0,2/27/2018 6:10
1,PM4,2/28/2018,2:57:33,deer,1,0,0,2/28/2018 2:57
1,PM4,3/4/2018,3:17:00,deer,1,0,0,3/4/2018 3:17
1,PM4,3/6/2018,23:19:44,deer,1,0,0,3/6/2018 23:19
1,PM4,3/7/2018,11:54:12,deer,1,0,0,3/7/2018 11:54
1,PM4,3/8/2018,18:28:13,deer,1,0,1,3/8/2018 18:28
1,PM4,3/12/2018,21:47:33,deer,1,0,1,3/12/2018 21:47
1,PM4,3/13/2018,1:19:25,deer,2,0,2,3/13/2018 1:19
1,PM4,3/13/2018,1:23:15,deer,1,0,1,3/13/2018 1:23
1,PM4,3/13/2018,12:27:05,deer,1,0,0,3/13/2018 12:27
1,PM4,3/16/2018,20:00:19,deer,1,0,0,3/16/2018 20:00
1,PM4,3/23/2018,18:58:33,deer,1,0,0,3/23/2018 18:58
1,PM4,3/23/2018,19:10:28,deer,1,0,0,3/23/2018 19:10
1,PM4,3/26/2018,7:45:39,deer,1,0,0,3/26/2018 7:45
4,PM19,2/17/2018,19:14,deer,1,0,0,2/17/2018 19:14
4,PM19,2/17/2018,21:44,deer,1,0,0,2/17/2018 21:44
4,PM19,2/19/2018,19:00,deer,1,0,0,2/19/2018 19:00
4,PM19,2/19/2018,19:11,deer,1,0,0,2/19/2018 19:11
4,PM19,2/19/2018,19:36,deer,1,0,0,2/19/2018 19:36
4,PM19,2/21/2018,23:49,deer,1,1,0,2/21/2018 23:49
4,PM19,2/21/2018,23:50,deer,1,0,0,2/21/2018 23:50
4,PM19,2/21/2018,23:51,deer,1,0,0,2/21/2018 23:51
4,PM19,2/23/2018,22:03,deer,1,0,0,2/23/2018 22:03
4,PM19,2/23/2018,22:33,deer,1,0,0,2/23/2018 22:33
4,PM19,2/23/2018,22:38,deer,5,0,3,2/23/2018 22:38
4,PM19,2/23/2018,22:58,deer,2,0,0,2/23/2018 22:58
4,PM19,2/23/2018,23:06,deer,2,0,0,2/23/2018 23:06
4,PM19,2/24/2018,23:39,deer,1,0,0,2/24/2018 23:39
4,PM19,2/24/2018,23:41,deer,1,1,0,2/24/2018 23:41
4,PM19,2/24/2018,23:43,deer,2,0,0,2/24/2018 23:43
4,PM19,2/25/2018,19:19,deer,1,0,0,2/25/2018 19:19
4,PM19,2/25/2018,19:21,deer,2,0,0,2/25/2018 19:21
4,PM19,2/28/2018,18:44,deer,2,0,0,2/28/2018 18:44
4,PM19,2/28/2018,18:45,deer,1,0,0,2/28/2018 18:45
4,PM19,2/28/2018,23:56,deer,1,0,0,2/28/2018 23:56
4,PM19,2/28/2018,23:58,deer,1,1,0,2/28/2018 23:58
4,PM19,2/28/2018,23:59,deer,1,0,0,2/28/2018 23:59
4,PM19,3/1/2018,0:02,deer,1,1,0,3/1/2018 0:02
4,PM19,3/2/2018,19:10,deer,1,0,0,3/2/2018 19:10
4,PM19,3/2/2018,19:16,deer,3,0,2,3/2/2018 19:16
4,PM19,3/2/2018,19:17,deer,2,1,0,3/2/2018 19:17
4,PM19,3/2/2018,19:19,deer,1,1,0,3/2/2018 19:19
4,PM20,1/1/2018,2:16:38,deer,1,0,0,1/1/2018 2:16
4,PM20,1/1/2018,2:17:38,deer,2,0,0,1/1/2018 2:17
4,PM20,1/1/2018,3:13:37,deer,1,0,0,1/1/2018 3:13
4,PM20,1/1/2018,23:49:32,deer,1,0,0,1/1/2018 23:49
4,PM20,1/2/2018,17:54:46,deer,1,0,0,1/2/2018 17:54
4,PM20,1/2/2018,17:55:50,deer,4,0,0,1/2/2018 17:55
4,PM20,1/2/2018,17:56:53,deer,3,0,0,1/2/2018 17:56
4,PM20,1/2/2018,18:06:32,deer,1,0,0,1/2/2018 18:06
4,PM20,1/2/2018,23:38:38,deer,1,0,0,1/2/2018 23:38
4,PM20,1/5/2018,0:01:00,deer,1,1,0,1/5/2018 0:01
4,PM20,1/5/2018,7:27:15,deer,1,0,0,1/5/2018 7:27
4,PM20,1/5/2018,7:29:15,deer,2,0,0,1/5/2018 7:29
4,PM20,1/5/2018,7:33:57,deer,1,1,0,1/5/2018 7:33
4,PM20,1/5/2018,22:56:20,deer,1,1,0,1/5/2018 22:56
4,PM20,1/6/2018,21:53:59,deer,1,0,0,1/6/2018 21:53
4,PM20,1/7/2018,6:57:25,deer,1,0,0,1/7/2018 6:57
4,PM20,1/10/2018,18:35:14,deer,1,1,0,1/10/2018 18:35
4,PM20,1/13/2018,7:33:43,deer,1,0,0,1/13/2018 7:33
4,PM20,1/13/2018,7:39:29,deer,2,1,0,1/13/2018 7:39
4,PM20,1/13/2018,7:41:43,deer,1,0,0,1/13/2018 7:41
4,PM20,1/13/2018,7:45:20,deer,2,1,0,1/13/2018 7:45
4,PM20,1/16/2018,8:00:34,deer,1,0,0,1/16/2018 8:00
4,PM20,1/19/2018,17:23:45,deer,1,0,0,1/19/2018 17:23
4,PM20,1/19/2018,22:54:31,deer,1,0,0,1/19/2018 22:54
4,PM20,1/20/2018,6:54:51,deer,1,0,0,1/20/2018 6:54
4,PM20,1/20/2018,6:57:12,deer,2,0,0,1/20/2018 6:57
4,PM20,1/27/2018,1:51:32,deer,1,0,0,1/27/2018 1:51
4,PM20,1/30/2018,5:23:26,deer,1,1,0,1/30/2018 5:23
4,PM20,2/3/2018,4:24:38,deer,1,0,0,2/3/2018 4:24
4,PM20,2/3/2018,5:23:03,deer,1,0,0,2/3/2018 5:23
4,PM20,2/5/2018,23:42:34,deer,1,1,0,2/5/2018 23:42
4,PM20,2/6/2018,3:10:46,deer,2,0,0,2/6/2018 3:10
4,PM20,2/8/2018,23:47:26,deer,1,0,0,2/8/2018 23:47
4,PM20,2/12/2018,2:48:22,deer,1,0,0,2/12/2018 2:48
4,PM20,2/13/2018,18:22:17,deer,1,0,0,2/13/2018 18:22
4,PM20,2/15/2018,7:35:26,deer,1,0,0,2/15/2018 7:35
4,PM20,2/15/2018,7:42:16,deer,1,0,0,2/15/2018 7:42
4,PM20,2/17/2018,4:08:54,deer,1,0,0,2/17/2018 4:08
4,PM20,2/23/2018,6:16:52,deer,1,0,0,2/23/2018 6:16
4,PM20,2/23/2018,6:18:21,deer,1,0,0,2/23/2018 6:18
4,PM20,2/23/2018,6:23:17,deer,1,0,0,2/23/2018 6:23
4,PM20,2/28/2018,19:57:40,deer,1,0,0,2/28/2018 19:57
4,PM20,2/28/2018,20:03:19,deer,1,0,0,2/28/2018 20:03
4,PM20,3/3/2018,1:35:18,deer,1,0,0,3/3/2018 1:35
